	6.50	0.00000000	5.00582965	
	7.00	0.00000000	4.08964891	
	7.50	0.00000000	3.47466366	
	8.00	0.00000000	3.16533006	
	8.50	0.00000000	2.92280856	
	9.00	0.00000000	2.60415844	
	9.50	0.00000000	2.33105884	
	10.00	0.00000000	2.25378268	
	10.50	0.00000000	2.17105278	
	11.00	0.00000000	1.95604014	
	11.50	0.00000000	1.79435401	
	12.00	0.00000000	1.75299891	
	12.50	0.00000000	1.61389114	
	13.00	0.00000000	1.56856369	
	13.50	0.00000000	1.40884672	
	14.00	0.00000000	1.47563137	
	14.50	0.00000000	1.25433244	
	15.00	0.00000000	1.19796751	
	15.50	0.00000000	1.15188610	
	16.00	0.00000000	1.05094428	
Detector ID	Positive Diagonal Position(cm)	Room 	Room U1
	-22.63	0.00000000	0.59853515	
	-21.92	0.00000000	0.63761629	
	-21.21	0.00000000	0.63787499	
	-20.51	0.00000000	0.83734553	
	-19.80	0.00000000	0.87261703	
	-19.09	0.00000000	0.89365346	
	-18.38	0.00000000	0.96713675	
	-17.68	0.00000000	1.07525317	
	-16.97	0.00000000	1.09046817	
	-16.26	0.00000000	1.18115658	
	-15.56	0.00000000	1.26881481	
	-14.85	0.00000000	1.30935727	
	-14.14	0.00000000	1.39973099	
	-13.43	0.00000000	1.49041268	
	-12.73	0.00000000	1.68677209	
	-12.02	0.00000000	1.81497542	
	-11.31	0.00000000	1.96567523	
	-10.61	0.00000000	2.14055380	
	-9.90	0.00000000	2.37849692	
	-9.19	0.00000000	2.70865527	
	-8.49	0.00000000	3.08176809	
	-7.78	0.00000000	4.20194388	
	-7.07	0.00000000	20.12767178	
	-6.36	0.00000000	72.56223899	
	-5.66	0.00000000	85.04393946	
	-4.95	0.00000000	89.05440221	
	-4.24	0.00000000	91.26329596	
	-3.54	0.00000000	93.03638517	
	-2.83	0.00000000	95.07912448	
	-2.12	0.00000000	96.36285146	
	-1.41	0.00000000	97.32364084	
	0.00	0.00000000	100.00000000	
	1.41	0.00000000	98.30538197	
	2.12	0.00000000	96.70559278	
	2.83	0.00000000	95.10061035	
	3.54	0.00000000	93.73741354	
	4.24	0.00000000	91.92162219	
	4.95	0.00000000	89.29275830	
	5.66	0.00000000	86.11757935	
	6.36	0.00000000	80.30874249	
	7.07	0.00000000	35.29905028	
	7.78	0.00000000	6.09734441	
	8.49	0.00000000	3.39598962	
	9.19	0.00000000	2.71501899	
	9.90	0.00000000	2.30561307	
	10.61	0.00000000	2.06375388	
	11.31	0.00000000	1.92483035	
	12.02	0.00000000	1.72066249	
	12.73	0.00000000	1.54757700	
	13.43	0.00000000	1.45776112	
	14.14	0.00000000	1.40929948	
	14.85	0.00000000	1.33252432	
	15.56	0.00000000	1.15622388	
	16.26	0.00000000	1.09804716	
	16.97	0.00000000	1.16079090	
	17.68	0.00000000	1.06894250	
	18.38	0.00000000	0.97170104	
	19.09	0.00000000	0.88100086	
	19.80	0.00000000	0.76089918	
	20.51	0.00000000	0.84217680	
	21.21	0.00000000	0.63414694	
	21.92	0.00000000	0.65915997	
	22.63	0.00000000	0.50897540	
Detector ID	Negative Diagonal Position(cm)	Room 	Room U1
	-22.63	0.00000000	0.68441092	
	-21.92	0.00000000	0.68957955	
	-21.21	0.00000000	0.81685915	
	-20.51	0.00000000	0.88131874	
	-19.80	0.00000000	0.79233775	
	-19.09	0.00000000	0.89275633	
	-18.38	0.00000000	0.92698207	
	-17.68	0.00000000	0.98478614	
	-16.97	0.00000000	1.03374083	
	-16.26	0.00000000	1.17318422	
	-15.56	0.00000000	1.18720126	
	-14.85	0.00000000	1.29311970	
	-14.14	0.00000000	1.35703703	
	-13.43	0.00000000	1.52169512	
	-12.73	0.00000000	1.60456691	
	-12.02	0.00000000	1.76740060	
	-11.31	0.00000000	1.88213612	
	-10.61	0.00000000	2.20095730	
	-9.90	0.00000000	2.32536069	
	-9.19	0.00000000	2.68435169	
	-8.49	0.00000000	3.23656085	
	-7.78	0.00000000	4.62094475	
	-7.07	0.00000000	29.46155953	
	-6.36	0.00000000	76.91478500	
	-5.66	0.00000000	86.21262088	
	-4.95	0.00000000	89.48577912	
	-4.24	0.00000000	92.08653617	
	-3.54	0.00000000	94.20326792	
	-2.83	0.00000000	95.38358028	
	-2.12	0.00000000	96.51878468	
	-1.41	0.00000000	97.36610023	
	0.00	0.00000000	100.00000000	
	1.41	0.00000000	97.76429211	
	2.12	0.00000000	97.08275531	
	2.83	0.00000000	95.39851237	
	3.54	0.00000000	93.76381194	
	4.24	0.00000000	90.90822114	
	4.95	0.00000000	89.06336919	
	5.66	0.00000000	85.24862482	
	6.36	0.00000000	75.47199999	
	7.07	0.00000000	23.40420426	
	7.78	0.00000000	4.88852308	
	8.49	0.00000000	3.12183193	
	9.19	0.00000000	2.60456172	
	9.90	0.00000000	2.25924511	
	10.61	0.00000000	2.03503908	
	11.31	0.00000000	1.93406684	
	12.02	0.00000000	1.76668129	
	12.73	0.00000000	1.55993746	
	13.43	0.00000000	1.48790045	
	14.14	0.00000000	1.38616083	
	14.85	0.00000000	1.30413383	
	15.56	0.00000000	1.17290819	
	16.26	0.00000000	1.14068873	
	16.97	0.00000000	1.03400219	
	17.68	0.00000000	1.02612723	
	18.38	0.00000000	0.94473504	
	19.09	0.00000000	0.78438847	
	19.80	0.00000000	0.69518030	
	20.51	0.00000000	0.70266783	
	21.21	0.00000000	0.67723679	
	21.92	0.00000000	0.62221247	
	22.63	0.00000000	0.54781761	
