	-3.54	94.34158409	
	-2.83	95.93974595	
	-2.12	97.48068462	
	-1.41	99.26192421	
	0.00	100	
	1.41	98.96933673	
	2.12	97.97737689	
	2.83	95.79826338	
	3.54	93.61481362	
	4.24	91.10069133	
	4.95	88.693604	
	5.66	85.8378537	
	6.36	83.32638361	
	7.07	81.21654721	
	7.78	78.82123274	
	8.49	76.2192779	
	9.19	73.8982702	
	9.90	71.63679441	
	10.61	69.06730884	
	11.31	66.2420494	
	12.02	63.3049045	
	12.73	58.11869727	
	13.43	32.75399424	
	14.14	7.320592292	
	14.85	2.702803765	
	15.56	1.726246628	
	16.26	1.355788073	
	16.97	1.078621813	
	17.68	0.8715043241	
	18.38	0.723167455	
	19.09	0.4684358706	
	19.80	0.3423291512	
	20.51	0.3268584247	
	21.21	0.3157602316	
	21.92	0.2569608708	
	22.63	5.1932210702	
