	8.50	0.00000000	2.92527373	
	9.00	0.00000000	2.60160953	
	9.50	0.00000000	2.32814383	
	10.00	0.00000000	2.24857157	
	10.50	0.00000000	2.16757110	
	11.00	0.00000000	1.95638422	
	11.50	0.00000000	1.79480328	
	12.00	0.00000000	1.75338798	
	12.50	0.00000000	1.61348521	
	13.00	0.00000000	1.56491087	
	13.50	0.00000000	1.40544259	
	14.00	0.00000000	1.47717166	
	14.50	0.00000000	1.25292097	
	15.00	0.00000000	1.19592162	
	15.50	0.00000000	1.14760834	
	16.00	0.00000000	1.04743332	
Detector ID	Positive Diagonal Position(cm)	Room 	Room U1
	-22.63	0.00000000	0.59744802	
	-21.92	0.00000000	0.63588276	
	-21.21	0.00000000	0.63927925	
	-20.51	0.00000000	0.83578245	
	-19.80	0.00000000	0.87025265	
	-19.09	0.00000000	0.88839555	
	-18.38	0.00000000	0.96255809	
	-17.68	0.00000000	1.07702314	
	-16.97	0.00000000	1.08918149	
	-16.26	0.00000000	1.17910593	
	-15.56	0.00000000	1.26408819	
	-14.85	0.00000000	1.30721075	
	-14.14	0.00000000	1.39577204	
	-13.43	0.00000000	1.49021709	
	-12.73	0.00000000	1.68483764	
	-12.02	0.00000000	1.81389607	
	-11.31	0.00000000	1.96545778	
	-10.61	0.00000000	2.13880231	
	-9.90	0.00000000	2.37809271	
	-9.19	0.00000000	2.70519737	
	-8.49	0.00000000	3.07746300	
	-7.78	0.00000000	4.19932693	
	-7.07	0.00000000	20.11253847	
	-6.36	0.00000000	72.56175363	
	-5.66	0.00000000	85.05110721	
	-4.95	0.00000000	89.05905891	
	-4.24	0.00000000	91.26481304	
	-3.54	0.00000000	93.04599558	
	-2.83	0.00000000	95.08838331	
	-2.12	0.00000000	96.36793828	
	-1.41	0.00000000	97.32670539	
	0.00	0.00000000	100.00000000	
	1.41	0.00000000	98.31312541	
	2.12	0.00000000	96.71822208	
	2.83	0.00000000	95.10869309	
	3.54	0.00000000	93.74376973	
	4.24	0.00000000	91.93583419	
	4.95	0.00000000	89.29511201	
	5.66	0.00000000	86.11837690	
	6.36	0.00000000	80.31835101	
	7.07	0.00000000	35.31798337	
	7.78	0.00000000	6.09867650	
	8.49	0.00000000	3.39342449	
	9.19	0.00000000	2.71088818	
	9.90	0.00000000	2.30088095	
	10.61	0.00000000	2.06082073	
	11.31	0.00000000	1.92343889	
	12.02	0.00000000	1.71107414	
	12.73	0.00000000	1.54150745	
	13.43	0.00000000	1.45620830	
	14.14	0.00000000	1.40845838	
	14.85	0.00000000	1.32853813	
	15.56	0.00000000	1.15702506	
	16.26	0.00000000	1.09461094	
	16.97	0.00000000	1.15656990	
	17.68	0.00000000	1.06658260	
	18.38	0.00000000	0.97016873	
	19.09	0.00000000	0.87795977	
	19.80	0.00000000	0.76209956	
	20.51	0.00000000	0.84309554	
	21.21	0.00000000	0.63472354	
	21.92	0.00000000	0.65586739	
	22.63	0.00000000	0.51005593	
Detector ID	Negative Diagonal Position(cm)	Room 	Room U1
	-22.63	0.00000000	0.68417602	
	-21.92	0.00000000	0.68594640	
	-21.21	0.00000000	0.81382102	
