Patient Name: Water, Phantom
Patient ID: WP 001
Plan: 16MV
Course: TA
Date: Tuesday, June 02, 2020 2:48:10 PM
Exported by: alanphys

Start: (0.00, -0.13, 0.00)
End:   (0.00, 41.94, 0.00)

	Field 1
12.254086	91.248082
12.279094	91.150387
12.304102	91.053020
12.329111	90.955654
12.354119	90.858288
12.379127	90.760921
12.404136	90.663555
12.429144	90.566189
12.454152	90.468822
12.479161	90.371456
12.504169	90.274090
12.529177	90.178414
12.554186	90.083061
12.579194	89.987708
12.604202	89.892355
12.629211	89.797001
12.654219	89.701648
12.679227	89.606295
12.704236	89.510942
12.729244	89.415589
12.754252	89.320235
12.779261	89.226237
12.804269	89.132490
12.829277	89.038744
12.854286	88.944997
12.879294	88.851251
12.904302	88.757504
12.929311	88.663757
12.954319	88.570011
12.979327	88.476264
13.004336	88.382518
13.029344	88.289449
13.054352	88.196502
13.079361	88.103556
13.104369	88.010609
13.129377	87.917663
13.154386	87.824716
13.179394	87.731770
13.204402	87.638823
13.229411	87.545877
13.254419	87.452930
13.279427	87.358964
13.304436	87.264818
13.329444	87.170671
13.354452	87.076524
13.379461	86.982378
13.404469	86.888231
13.429477	86.794085
13.454486	86.699938
13.479494	86.605791
13.504502	86.511645
13.529511	86.417151
13.554519	86.322598
13.579527	86.228045
13.604536	86.133492
13.629544	86.038939
13.654553	85.944386
13.679561	85.849833
13.704569	85.755280
13.729578	85.660727
13.754586	85.566173
13.779594	85.473002
13.804603	85.380062
13.829611	85.287122
13.854619	85.194182
13.879628	85.101242
13.904636	85.008302
13.929644	84.915362
13.954653	84.822422
13.979661	84.729482
14.004669	84.636542
14.029678	84.546021
14.054686	84.455894
14.079694	84.365767
14.104703	84.275640
14.129711	84.185514
14.154719	84.095387
14.179728	84.005260
14.204736	83.915133
14.229744	83.825007
14.254753	83.734880
14.279761	83.644753
14.304769	83.554626
14.329778	83.464499
14.354786	83.374373
14.379794	83.284246
14.404803	83.194119
14.429811	83.103992
14.454819	83.013866
14.479828	82.923739
14.504836	82.833612
14.529844	82.743485
14.554853	82.653359
14.579861	82.563232
14.604869	82.473105
14.629878	82.382978
14.654886	82.292852
14.679894	82.202725
14.704903	82.112598
14.729911	82.022471
14.754919	81.932344
14.779928	81.843273
14.804936	81.754359
14.829944	81.665445
14.854953	81.576532
14.879961	81.487618
14.904969	81.398704
14.929978	81.309790
14.954986	81.220877
14.979994	81.131963
15.005003	81.043049
15.030011	80.955358
15.055019	80.867845
15.080028	80.780331
15.105036	80.692817
15.130044	80.605304
15.155053	80.517790
15.180061	80.430277
15.205069	80.342763
15.230078	80.255250
15.255086	80.167736
15.280094	80.080754
15.305103	79.993847
15.330111	79.906940
15.355119	79.820033
15.380128	79.733126
15.405136	79.646219
15.430144	79.559312
15.455153	79.472405
15.480161	79.385498
15.505170	79.298591
15.530178	79.212921
15.555186	79.127421
15.580195	79.041920
15.605203	78.956420
15.630211	78.870920
15.655220	78.785419
15.680228	78.699919
15.705236	78.614418
15.730245	78.528918
15.755253	78.443418
15.780261	78.359701
15.805270	78.276220
15.830278	78.192739
15.855286	78.109258
15.880295	78.025777
15.905303	77.942297
15.930311	77.858816
15.955320	77.775335
15.980328	77.691854
16.005336	77.608373
16.030345	77.526311
16.055353	77.444430
16.080361	77.362550
16.105370	77.280669
16.130378	77.198788
16.155386	77.116908
16.180395	77.035027
16.205403	76.953147
16.230411	76.871266
16.255420	76.789385
16.280428	76.707327
16.305436	76.625246
16.330445	76.543165
16.355453	76.461085
16.380461	76.379004
16.405470	76.296923
16.430478	76.214843
16.455486	76.132762
16.480495	76.050681
16.505503	75.968601
16.530511	75.886526
16.555520	75.804452
16.580528	75.722377
16.605536	75.640303
16.630545	75.558229
16.655553	75.476155
16.680561	75.394081
16.705570	75.312006
16.730578	75.229932
16.755586	75.147858
16.780595	75.066322
16.805603	74.984848
16.830611	74.903374
16.855620	74.821899
16.880628	74.740425
16.905636	74.658951
16.930645	74.577477
16.955653	74.496003
16.980661	74.414529
17.005670	74.333055
17.030678	74.253026
17.055686	74.173159
17.080695	74.093291
17.105703	74.013424
17.130711	73.933556
17.155720	73.853689
17.180728	73.773821
17.205736	73.693954
17.230745	73.614086
17.255753	73.534219
17.280762	73.455080
17.305770	73.376019
17.330778	73.296958
17.355787	73.217897
17.380795	73.138836
17.405803	73.059775
17.430812	72.980714
17.455820	72.901653
17.480828	72.822592
17.505837	72.743531
17.530845	72.665564
17.555853	72.587710
17.580862	72.509855
17.605870	72.432001
17.630878	72.354147
17.655887	72.276292
17.680895	72.198438
17.705903	72.120583
17.730912	72.042729
17.755920	71.964875
17.780928	71.887566
17.805937	71.810312
17.830945	71.733058
17.855953	71.655804
17.880962	71.578549
17.905970	71.501295
17.930978	71.424041
17.955987	71.346786
17.980995	71.269532
18.006003	71.192278
18.031012	71.115212
18.056020	71.038164
18.081028	70.961116
18.106037	70.884069
18.131045	70.807021
18.156053	70.729973
18.181062	70.652925
18.206070	70.575877
18.231078	70.498830
18.256087	70.421782
18.281095	70.344545
18.306103	70.267291
18.331112	70.190036
18.356120	70.112782
18.381128	70.035528
18.406137	69.958273
18.431145	69.881019
18.456153	69.803765
18.481162	69.726511
18.506170	69.649256
18.531178	69.572750
18.556187	69.496309
18.581195	69.419867
18.606203	69.343426
18.631212	69.266985
18.656220	69.190543
18.681228	69.114102
18.706237	69.037661
18.731245	68.961220
18.756253	68.884778
18.781262	68.810559
