Patient Name: Water, Phantom
Patient ID: WP001
Plan: QA1-6MV
Course: C1
Date: 06 October 2020 11:40:28 AM
Exported by: alanphys

Start: (-14.63, 4.78, -0.28)
End:   (14.77, 4.78, -0.28)

	20x20-6MV
13.807340	126.599546
13.832354	126.590817
13.857367	126.582089
13.882380	126.573360
13.907394	126.564631
13.932407	126.555902
13.957420	126.547174
13.982434	126.538445
14.007447	126.530519
14.032460	126.524487
14.057473	126.518455
14.082487	126.512423
14.107500	126.506391
14.132513	126.500358
14.157527	126.494326
14.182540	126.488294
14.207553	126.482262
14.232566	126.476230
14.257580	126.470741
14.282593	126.466503
14.307606	126.462264
14.332620	126.458026
14.357633	126.453787
14.382646	126.449549
14.407660	126.445310
14.432673	126.441072
14.457686	126.436833
14.482699	126.432595
14.507713	126.429586
14.532726	126.429337
14.557739	126.429088
14.582753	126.428838
14.607766	126.428589
14.632779	126.428340
14.657793	126.428091
14.682806	126.427841
14.707819	126.427592
14.732832	126.427343
14.757846	126.428558
14.782859	126.432978
14.807872	126.437398
14.832886	126.441818
14.857899	126.446237
14.882912	126.450657
14.907926	126.455077
14.932939	126.459497
14.957952	126.463917
14.982965	126.468336
15.007979	126.473147
15.032992	126.478792
15.058005	126.484437
15.083019	126.490082
15.108032	126.495726
15.133045	126.501371
15.158059	126.507016
15.183072	126.512661
15.208085	126.518306
15.233098	126.523951
15.258112	126.530597
15.283125	126.539329
15.308138	126.548061
15.333152	126.556793
15.358165	126.565524
15.383178	126.574256
15.408191	126.582988
15.433205	126.591720
15.458218	126.600452
15.483231	126.609184
15.508245	126.618601
15.533258	126.629411
15.558271	126.640222
15.583285	126.651032
15.608298	126.661843
15.633311	126.672653
15.658324	126.683464
15.683338	126.694274
15.708351	126.705085
15.733364	126.715895
15.758378	126.726490
15.783391	126.736655
15.808404	126.746820
15.833418	126.756984
15.858431	126.767149
15.883444	126.777314
15.908457	126.787479
15.933471	126.797644
15.958484	126.807809
15.983497	126.817974
16.008511	126.827901
16.033524	126.837367
16.058537	126.846832
16.083551	126.856298
16.108564	126.865764
16.133577	126.875229
16.158590	126.884695
16.183604	126.894160
16.208617	126.903626
16.233630	126.913091
16.258644	126.922424
16.283657	126.931505
16.308670	126.940586
16.333684	126.949667
16.358697	126.958748
16.383710	126.967829
16.408723	126.976910
16.433737	126.985991
16.458750	126.995072
16.483763	127.004153
16.508777	127.013082
16.533790	127.021732
16.558803	127.030381
16.583816	127.039031
16.608830	127.047680
16.633843	127.056330
16.658856	127.064979
16.683870	127.073629
16.708883	127.082278
16.733896	127.090928
16.758910	127.099310
16.783923	127.107209
16.808936	127.115108
16.833949	127.123007
16.858963	127.130905
16.883976	127.138804
16.908989	127.146703
16.934003	127.154602
16.959016	127.162501
16.984029	127.170400
17.009043	127.178112
17.034056	127.185494
17.059069	127.192876
17.084082	127.200258
17.109096	127.207640
17.134109	127.215022
17.159122	127.222404
17.184136	127.229786
17.209149	127.237168
17.234162	127.244550
17.259176	127.251724
17.284189	127.258540
17.309202	127.265356
17.334215	127.272171
17.359229	127.278987
17.384242	127.285803
17.409255	127.292618
17.434269	127.299434
17.459282	127.306250
17.484295	127.313065
17.509309	127.319525
17.534322	127.325386
17.559335	127.331246
17.584348	127.337106
17.609362	127.342966
