Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=36	
-17.0653368940257	88.85	
-17.0353368940257	88.83	
-17.0053368940257	88.77	
-16.9753368940257	88.71	
-16.9453368940257	88.66	
-16.9153368940257	88.61	
-16.8853368940256	88.63	
-16.8553368940256	88.65	
-16.8253368940256	88.67	
-16.7953368940256	88.69	
-16.7653368940256	88.72	
-16.7353368940256	88.74	
-16.7053368940256	88.77	
-16.6753368940256	88.80	
-16.6453368940256	88.82	
-16.6153368940256	88.85	
-16.5853368940256	88.87	
-16.5553368940256	88.90	
-16.5253368940256	88.93	
-16.4953368940256	88.93	
-16.4653368940256	88.92	
-16.4353368940256	88.92	
-16.4053368940256	88.92	
-16.3753368940256	88.90	
-16.3453368940256	88.86	
-16.3153368940256	88.83	
-16.2853368940256	88.80	
-16.2553368940256	88.77	
-16.2253368940256	88.82	
-16.1953368940256	88.87	
-16.1653368940256	88.91	
-16.1353368940256	88.96	
-16.1053368940256	88.98	
-16.0753368940256	89.00	
-16.0453368940256	89.01	
-16.0153368940256	89.02	
-15.9853368940256	89.02	
-15.9553368940256	88.98	
-15.9253368940256	88.95	
-15.8953368940256	88.91	
-15.8653368940256	88.87	
-15.8353368940256	88.87	
-15.8053368940256	88.88	
-15.7753368940256	88.89	
-15.7453368940256	88.91	
-15.7153368940256	88.91	
-15.6853368940256	88.92	
-15.6553368940256	88.92	
-15.6253368940256	88.92	
-15.5953368940256	88.92	
-15.5653368940256	88.89	
-15.5353368940256	88.86	
-15.5053368940256	88.83	
-15.4753368940256	88.79	
-15.4453368940256	88.78	
-15.4153368940256	88.79	
-15.3853368940256	88.79	
-15.3553368940256	88.80	
-15.3253368940256	88.80	
-15.2953368940256	88.78	
-15.2653368940256	88.76	
-15.2353368940256	88.74	
-15.2053368940256	88.72	
-15.1753368940256	88.68	
-15.1453368940256	88.64	
-15.1153368940256	88.60	
-15.0853368940256	88.56	
-15.0553368940256	88.54	
-15.0253368940256	88.57	
-14.9953368940256	88.60	
-14.9653368940256	88.63	
-14.9353368940256	88.66	
-14.9053368940256	88.66	
-14.8753368940256	88.67	
-14.8453368940256	88.67	
-14.8153368940256	88.67	
-14.7853368940256	88.66	
-14.7553368940256	88.62	
-14.7253368940256	88.59	
-14.6953368940256	88.55	
-14.6653368940256	88.52	
-14.6353368940256	88.52	
-14.6053368940256	88.53	
-14.5753368940256	88.53	
-14.5453368940256	88.53	
-14.5153368940256	88.52	
-14.4853368940256	88.51	
-14.4553368940256	88.49	
-14.4253368940256	88.47	
-14.3953368940257	88.46	
-14.3653368940257	88.45	
-14.3353368940257	88.44	
-14.3053368940257	88.44	
-14.2753368940257	88.43	
-14.2453368940257	88.44	
-14.2153368940257	88.45	
-14.1853368940257	88.47	
-14.1553368940257	88.48	
-14.1253368940257	88.49	
-14.0953368940257	88.47	
-14.0653368940257	88.46	
-14.0353368940257	88.44	
-14.0053368940257	88.43	
-13.9753368940257	88.41	
-13.9453368940257	88.40	
-13.9153368940257	88.38	
-13.8853368940257	88.36	
-13.8553368940257	88.34	
-13.8253368940257	88.31	
-13.7953368940257	88.28	
-13.7653368940257	88.25	
-13.7353368940257	88.22	
-13.7053368940257	88.17	
-13.6753368940257	88.12	
-13.6453368940257	88.07	
-13.6153368940257	88.03	
-13.5853368940257	88.02	
-13.5553368940257	88.02	
-13.5253368940257	88.03	
-13.4953368940257	88.03	
-13.4653368940257	88.04	
