Delivery System	U09	
Energy	10 MV	
Scan Type	Crossline	
Depth	5.00	
Field	21cm x 16cm (Jaws)	
Wedge	Open Field	
Comments	26x26 cr	

	5.00 cm : ScanId=407	
-12.7689329000001	8.37	
-12.7589329000001	8.40	
-12.7489329000001	8.44	
-12.7389329000001	8.48	
-12.7289329000001	8.52	
-12.7189329000001	8.55	
-12.7089329000001	8.59	
-12.6989329000001	8.63	
-12.6889329000001	8.67	
-12.6789329000001	8.71	
-12.6689329000001	8.75	
-12.6589329000001	8.79	
-12.6489329000001	8.83	
-12.6389329000001	8.89	
-12.6289329000001	8.94	
-12.6189329000001	8.99	
-12.6089329000001	9.05	
-12.5989329000001	9.10	
-12.5889329000001	9.16	
-12.5789329000001	9.21	
-12.5689329000001	9.26	
-12.5589329000001	9.32	
-12.5489329000001	9.37	
-12.5389329000001	9.42	
-12.5289329000001	9.47	
-12.5189329000001	9.51	
-12.5089329000001	9.56	
-12.4989329000001	9.60	
-12.4889329000001	9.65	
-12.4789329000001	9.69	
-12.4689329000001	9.74	
-12.4589329000001	9.78	
-12.4489329000001	9.83	
-12.4389329000001	9.87	
-12.4289329000001	9.92	
-12.4189329000001	9.98	
-12.4089329000001	10.05	
-12.3989329000001	10.11	
-12.3889329000001	10.18	
-12.3789329000001	10.24	
-12.3689329000001	10.31	
-12.3589329000001	10.37	
-12.3489329000001	10.44	
-12.3389329000001	10.50	
-12.3289329000001	10.57	
-12.3189329000001	10.64	
-12.3089329000001	10.70	
-12.2989329000001	10.76	
-12.2889329000001	10.83	
-12.2789329000001	10.89	
-12.2689329000001	10.95	
-12.2589329000001	11.02	
-12.2489329000001	11.08	
-12.2389329000001	11.14	
-12.2289329000001	11.21	
-12.2189329000001	11.27	
-12.2089329000001	11.34	
-12.1989329000001	11.42	
-12.1889329000001	11.51	
-12.1789329000001	11.59	
-12.1689329000001	11.67	
-12.1589329000001	11.76	
-12.1489329000001	11.84	
-12.1389329000001	11.93	
-12.1289329000001	12.01	
-12.1189329000001	12.09	
-12.1089329000001	12.18	
-12.0989329000001	12.26	
-12.0889329000001	12.37	
-12.0789329000001	12.48	
-12.0689329000001	12.59	
-12.0589329000001	12.70	
-12.0489329000001	12.81	
-12.0389329000001	12.92	
-12.0289329000001	13.03	
-12.0189329000001	13.13	
-12.0089329000001	13.24	
-11.9989329000001	13.35	
-11.9889329000001	13.46	
-11.9789329000001	13.58	
-11.9689329000001	13.71	
-11.9589329000001	13.83	
-11.9489329000001	13.95	
-11.9389329000001	14.07	
-11.9289329000001	14.19	
-11.9189329000001	14.31	
-11.9089329000001	14.44	
-11.8989329000001	14.56	
-11.8889329000001	14.68	
-11.8789329000001	14.81	
-11.8689329000001	14.97	
-11.8589329000001	15.13	
-11.8489329000001	15.29	
-11.8389329000001	15.46	
-11.8289329000001	15.62	
-11.8189329000001	15.78	
-11.8089329000001	15.94	
-11.7989329000001	16.11	
-11.7889329000001	16.27	
-11.7789329000001	16.43	
-11.7689329000001	16.60	
-11.7589329000001	16.85	
-11.7489329000001	17.09	
-11.7389329000001	17.33	
-11.7289329000001	17.58	
-11.7189329000001	17.82	
-11.7089329000001	18.06	
-11.6989329000001	18.31	
-11.6889329000001	18.55	
-11.6789329000001	18.79	
-11.6689329000001	19.03	
-11.6589329000001	19.29	
-11.6489329000001	19.62	
-11.6389329000001	19.96	
-11.6289329000001	20.29	
-11.6189329000001	20.63	
-11.6089329000001	20.97	
-11.5989329000001	21.30	
-11.5889329000001	21.64	
-11.5789329000001	21.97	
-11.5689329000001	22.31	
-11.5589329000001	22.65	
-11.5489329000001	23.02	
-11.5389329000001	23.54	
-11.5289329000001	24.06	
-11.5189329000001	24.58	
-11.5089329000001	25.11	
-11.4989329000001	25.63	
-11.4889329000001	26.15	
-11.4789329000001	26.67	
-11.4689329000001	27.19	
-11.4589329000001	27.71	
-11.4489329000001	28.23	
-11.4389329000001	28.81	
-11.4289329000001	29.58	
-11.4189329000001	30.35	
-11.4089329000001	31.13	
-11.3989329000001	31.90	
-11.3889329000001	32.68	
-11.3789329000001	33.45	
-11.3689329000001	34.22	
-11.3589329000001	35.00	
-11.3489329000001	35.77	
-11.3389329000001	36.54	
-11.3289329000001	37.37	
-11.3189329000001	38.41	
-11.3089329000001	39.45	
-11.2989329000001	40.49	
-11.2889329000001	41.53	
-11.2789329000001	42.57	
-11.2689329000001	43.61	
-11.2589329000001	44.65	
-11.2489329000001	45.69	
-11.2389329000001	46.73	
-11.2289329000001	47.77	
-11.2189329000001	48.85	
-11.2089329000001	50.10	
-11.1989329000001	51.36	
-11.1889329000001	52.61	
-11.1789329000001	53.86	
-11.1689329000001	55.12	
-11.1589329000001	56.37	
-11.1489329000001	57.62	
-11.1389329000001	58.88	
-11.1289329000001	60.13	
-11.1189329000001	61.39	
-11.1089329000001	62.65	
-11.0989329000001	64.02	
-11.0889329000001	65.39	
-11.0789329000001	66.76	
-11.0689329000001	68.13	
-11.0589329000001	69.49	
-11.0489329000001	70.86	
-11.0389329000001	72.23	
-11.0289329000001	73.60	
-11.0189329000001	74.97	
-11.0089329000001	76.34	
-10.9989329000001	77.70	
-10.9889329000001	79.01	
-10.9789329000001	80.32	
-10.9689329000001	81.63	
-10.9589329000001	82.95	
-10.9489329000001	84.26	
-10.9389329000001	85.57	
-10.9289329000001	86.88	
-10.9189329000001	88.19	
-10.9089329000001	89.50	
-10.8989329000001	90.81	
-10.8889329000001	92.11	
-10.8789329000001	93.29	
-10.8689329000001	94.47	
-10.8589329000001	95.66	
-10.8489329000001	96.84	
-10.8389329000001	98.02	
-10.8289329000001	99.20	
-10.8189329000001	100.38	
-10.8089329000001	101.56	
-10.7989329000001	102.74	
-10.7889329000001	103.92	
-10.7789329000001	105.08	
-10.7689329000001	106.02	
-10.7589329000001	106.96	
-10.7489329000001	107.90	
-10.7389329000001	108.84	
-10.7289329000001	109.77	
-10.7189329000001	110.71	
-10.7089329000001	111.65	
-10.6989329000001	112.59	
-10.6889329000001	113.53	
-10.6789329000001	114.47	
-10.6689329000001	115.35	
-10.6589329000001	116.02	
-10.6489329000001	116.68	
-10.6389329000001	117.34	
-10.6289329000001	118.00	
-10.6189329000001	118.67	
-10.6089329000001	119.33	
-10.5989329000001	119.99	
-10.5889329000001	120.65	
-10.5789329000001	121.32	
-10.5689329000001	121.98	
-10.5589329000001	122.59	
-10.5489329000001	123.00	
-10.5389329000001	123.40	
-10.5289329000001	123.81	
-10.5189329000001	124.22	
-10.5089329000001	124.62	
-10.4989329000001	125.03	
-10.4889329000001	125.44	
-10.4789329000001	125.84	
-10.4689329000001	126.25	
-10.4589329000001	126.66	
-10.4489329000001	127.04	
-10.4389329000001	127.32	
-10.4289329000001	127.59	
-10.4189329000001	127.87	
-10.4089329000001	128.15	
-10.3989329000001	128.42	
-10.3889329000001	128.70	
-10.3789329000001	128.98	
-10.3689329000001	129.26	
-10.3589329000001	129.53	
-10.3489329000001	129.81	
-10.3389329000001	130.07	
-10.3289329000001	130.28	
-10.3189329000001	130.48	
-10.3089329000001	130.68	
-10.2989329000001	130.89	
-10.2889329000001	131.09	
-10.2789329000001	131.29	
-10.2689329000001	131.50	
-10.2589329000001	131.70	
-10.2489329000001	131.90	
-10.2389329000001	132.11	
-10.2289329000001	132.30	
-10.2189329000001	132.43	
-10.2089329000001	132.57	
-10.1989329000001	132.71	
