Delivery System	U03	
Energy	6 MV	
Scan Type	Profile at Angle	
Depth	5.00	
Field	40cm x 40cm (Jaws)	
Wedge	Open Field	
Comments		

	5.00 cm : ScanId=35	
-19.8232151828745	88.86	
-19.7932151828745	88.80	
-19.7632151828745	88.74	
-19.7332151828745	88.68	
-19.7032151828745	88.62	
-19.6732151828745	88.66	
-19.6432151828745	88.71	
-19.6132151828745	88.76	
-19.5832151828745	88.81	
-19.5532151828745	88.85	
-19.5232151828745	88.89	
-19.4932151828745	88.93	
-19.4632151828745	88.97	
-19.4332151828745	89.01	
-19.4032151828745	88.93	
-19.3732151828745	88.86	
-19.3432151828745	88.78	
-19.3132151828745	88.71	
-19.2832151828745	88.70	
-19.2532151828744	88.71	
-19.2232151828744	88.73	
-19.1932151828744	88.75	
-19.1632151828744	88.77	
-19.1332151828744	88.79	
-19.1032151828744	88.81	
-19.0732151828744	88.83	
-19.0432151828744	88.85	
-19.0132151828744	88.83	
-18.9832151828744	88.79	
-18.9532151828744	88.76	
-18.9232151828744	88.73	
-18.8932151828744	88.71	
-18.8632151828744	88.70	
-18.8332151828744	88.70	
-18.8032151828744	88.69	
-18.7732151828744	88.69	
-18.7432151828744	88.71	
-18.7132151828744	88.73	
-18.6832151828744	88.76	
-18.6532151828744	88.78	
-18.6232151828744	88.79	
-18.5932151828744	88.80	
-18.5632151828744	88.80	
-18.5332151828744	88.81	
-18.5032151828744	88.81	
-18.4732151828744	88.79	
-18.4432151828744	88.76	
-18.4132151828744	88.73	
-18.3832151828744	88.70	
-18.3532151828744	88.73	
-18.3232151828744	88.77	
-18.2932151828744	88.81	
-18.2632151828744	88.85	
-18.2332151828744	88.87	
-18.2032151828744	88.85	
-18.1732151828744	88.83	
-18.1432151828744	88.82	
-18.1132151828744	88.80	
-18.0832151828744	88.79	
-18.0532151828744	88.79	
-18.0232151828744	88.78	
-17.9932151828744	88.78	
-17.9632151828744	88.75	
-17.9332151828744	88.69	
-17.9032151828744	88.64	
-17.8732151828744	88.59	
-17.8432151828744	88.55	
-17.8132151828744	88.61	
-17.7832151828744	88.66	
-17.7532151828744	88.72	
-17.7232151828744	88.77	
-17.6932151828744	88.79	
-17.6632151828744	88.79	
-17.6332151828744	88.79	
-17.6032151828744	88.79	
-17.5732151828744	88.78	
-17.5432151828744	88.77	
-17.5132151828744	88.76	
-17.4832151828744	88.75	
-17.4532151828744	88.74	
-17.4232151828744	88.76	
-17.3932151828744	88.78	
-17.3632151828744	88.80	
-17.3332151828744	88.82	
-17.3032151828744	88.83	
-17.2732151828744	88.81	
-17.2432151828744	88.80	
-17.2132151828744	88.78	
-17.1832151828744	88.77	
